Time,ms,H2,Temp.,CH4_14,CH4_15,CH4_16,H2O,C2H4_24,C2H4_26,C2H4_27,CO,Ethane,O2,Ar,CO2,source_file,temperature_deg
00:00:00,532,-4.29999e-09,28.1716,1.71999e-08,1.33299e-07,1.67699e-07,2.57999e-08,0.0,4.29999e-09,-4.29999e-09,4.29999e-09,1.26285e-08,1.16099e-07,2.38219e-06,2.30071e-10,file4084.csv,
00:00:19,19362,1.34374e-09,28.1716,1.74687e-08,1.3102e-07,1.66624e-07,2.35102e-08,1.08952e-07,2.68749e-09,6.05224e-09,0.0,9.78705e-10,1.13541e-07,2.40732e-06,2.43497e-10,file4084.csv,
00:00:33,33126,3.22499e-10,28.3685,1.88124e-08,1.27064e-07,1.58992e-07,2.56924e-08,-2.90538e-09,0.0,-1.07499e-10,3.43999e-09,1.57855e-10,1.09972e-07,2.42747e-06,2.57827e-10,file4084.csv,
00:00:52,52473,5.26104e-10,30.206,1.88393e-08,1.27172e-07,1.59207e-07,2.58926e-08,5.08443e-10,6.98748e-11,1.94574e-11,3.4588e-09,7.79808e-11,1.10187e-07,2.42345e-06,2.47099e-10,file4084.csv,
00:01:17,77141,5.26781e-10,34.6027,1.87452e-08,1.26849e-07,1.58777e-07,2.57952e-08,3.86416e-11,1.79847e-11,2.74124e-11,3.41117e-09,8.02065e-11,1.09327e-07,2.43419e-06,2.66578e-10,file4084.csv,
00:01:57,117259,4.82749e-10,43.7244,1.88097e-08,1.27494e-07,1.59314e-07,2.5716e-08,4.76484e-11,1.21689e-11,1.76622e-11,3.4488e-09,5.77752e-11,1.09542e-07,2.45099e-06,2.74565e-10,file4084.csv,
00:03:06,186109,4.96391e-10,57.2429,1.87271e-08,1.26849e-07,1.58669e-07,2.54136e-08,4.58762e-10,1.61142e-11,2.19299e-12,3.45663e-09,5.89906e-11,1.10294e-07,2.45637e-06,2.97333e-10,file4084.csv,
00:04:14,254959,4.76159e-10,71.352,1.87271e-08,1.27279e-07,1.58992e-07,2.52207e-08,3.54749e-10,7.17023e-12,2.01132e-11,3.51897e-09,8.1864e-11,1.10617e-07,2.46846e-06,3.06105e-10,file4084.csv,
00:05:23,323809,4.79857e-10,85.1986,1.86989e-08,1.27279e-07,1.59099e-07,2.512e-08,-3.14362e-10,4.25699e-12,1.67484e-11,3.4895e-09,6.66783e-11,1.11369e-07,2.4772e-06,3.16726e-10,file4084.csv,
00:06:32,392659,4.88318e-10,99.5046,1.86894e-08,1.27172e-07,1.59314e-07,2.49432e-08,9.09389e-11,1.90274e-12,-8.87948e-12,3.5198e-09,6.05535e-11,1.11154e-07,2.48458e-06,3.17844e-10,file4084.csv,
00:07:41,461509,4.89339e-10,113.4168,1.86229e-08,1.27494e-07,1.58992e-07,2.4829e-08,3.03032e-10,3.39699e-12,2.08764e-11,3.52268e-09,5.95589e-11,1.11907e-07,2.49063e-06,3.61306e-10,file4084.csv,
00:08:50,530359,4.80997e-10,127.329,1.86707e-08,1.27924e-07,1.59637e-07,2.46497e-08,4.73289e-10,6.58973e-12,2.71974e-11,3.55573e-09,7.94488e-11,1.12337e-07,2.49601e-06,4.33396e-10,file4084.csv,
00:09:59,599209,4.75202e-10,140.585,1.8838e-08,1.28999e-07,1.60927e-07,2.46584e-08,2.29236e-10,-1.96724e-12,2.26072e-11,3.65148e-09,7.24399e-11,1.13627e-07,2.52893e-06,6.00977e-10,file4084.csv,
00:11:08,668059,4.86512e-10,154.1035,1.89353e-08,1.29644e-07,1.61679e-07,2.46664e-08,2.37952e-10,9.10523e-12,1.15132e-11,3.65455e-09,7.67179e-11,1.12767e-07,2.51683e-06,7.98229e-10,file4084.csv,
00:12:16,736909,4.61851e-10,167.4251,1.86995e-08,1.28677e-07,1.60282e-07,2.45462e-08,-7.64119e-11,7.56798e-12,1.27172e-11,3.64469e-09,7.28504e-11,1.11262e-07,2.4987e-06,9.34592e-10,file4084.csv,
00:13:25,805759,4.832e-10,180.9436,1.86942e-08,1.28569e-07,1.59852e-07,2.43856e-08,6.01708e-10,1.44479e-11,2.14999e-11,3.64266e-09,8.28427e-11,1.10939e-07,2.49735e-06,1.18989e-09,file4084.csv,
00:14:34,874609,4.75783e-10,193.9371,1.86404e-08,1.28462e-07,1.59852e-07,2.43003e-08,2.96641e-10,1.08682e-11,1.83287e-11,3.69151e-09,9.57079e-11,1.10939e-07,2.50944e-06,1.45343e-09,file4084.csv,
00:15:43,943439,4.74418e-10,207.0618,1.8758e-08,1.29107e-07,1.60712e-07,2.43292e-08,4.16051e-10,6.81548e-12,3.00354e-11,3.71e-09,8.36636e-11,1.11262e-07,2.539e-06,1.76094e-09,file4084.csv,
00:16:52,1012289,4.82738e-10,220.3178,1.88326e-08,1.29644e-07,1.61464e-07,2.42821e-08,1.0012e-09,4.07424e-12,3.17877e-11,3.73754e-09,1.05148e-10,1.11047e-07,2.54505e-06,1.99178e-09,file4084.csv,
00:17:57,1077889,4.76385e-10,233.18,1.88581e-08,1.30289e-07,1.62109e-07,2.42788e-08,-9.61686e-11,1.12122e-11,2.37897e-11,3.74686e-09,1.04122e-10,1.11692e-07,2.55849e-06,1.6802e-09,file4084.csv,
00:19:06,1146739,4.86426e-10,246.7641,1.88621e-08,1.30397e-07,1.62217e-07,2.41599e-08,-1.60378e-10,1.06317e-11,1.46844e-11,3.66526e-09,1.14619e-10,1.12229e-07,2.56856e-06,1.22094e-09,file4084.csv,
00:20:15,1215589,4.82115e-10,259.8232,1.88829e-08,1.30182e-07,1.62324e-07,2.39718e-08,4.2593e-10,5.45024e-12,2.26609e-11,3.59459e-09,1.47326e-10,1.12659e-07,2.57931e-06,9.93567e-10,file4084.csv,
00:21:24,1284439,4.72472e-10,272.6855,1.88486e-08,1.30504e-07,1.62109e-07,2.37709e-08,-2.54513e-10,3.05299e-12,3.69046e-11,3.69194e-09,6.00956e-11,1.11799e-07,2.57529e-06,9.00891e-10,file4084.csv,
00:22:33,1353291,4.64506e-10,286.4008,1.87325e-08,1.29967e-07,1.61679e-07,2.3529e-08,2.44054e-10,7.56798e-12,6.52524e-12,3.60608e-09,1.09631e-10,1.11154e-07,2.57058e-06,8.90087e-10,file4084.csv,
00:23:41,1421101,4.67269e-10,299.3943,1.87606e-08,1.29752e-07,1.61249e-07,2.32857e-08,3.57943e-10,2.14677e-11,4.63324e-12,3.61754e-09,9.41294e-11,1.10079e-07,2.56924e-06,9.32303e-10,file4084.csv,
00:24:49,1489951,4.62636e-10,312.8472,1.87425e-08,1.29429e-07,1.60927e-07,2.30305e-08,2.4754e-10,2.14247e-11,1.47059e-11,3.66973e-09,1.27074e-10,1.08897e-07,2.56521e-06,1.05683e-09,file4084.csv,
00:25:58,1558801,4.71279e-10,326.3,1.8674e-08,1.29214e-07,1.60604e-07,2.28685e-08,4.66316e-10,-1.00727e-11,2.87239e-11,3.73455e-09,1.59924e-10,1.08144e-07,2.57462e-06,1.21928e-09,file4084.csv,
00:27:07,1627652,4.55756e-10,339.6873,1.87062e-08,1.29214e-07,1.60819e-07,2.25918e-08,-1.28128e-10,1.25452e-11,1.81244e-11,3.80424e-09,1.36845e-10,1.06747e-07,2.57663e-06,1.41228e-09,file4084.csv,
00:28:16,1696503,4.72676e-10,353.0745,1.86679e-08,1.28999e-07,1.60174e-07,2.23451e-08,-5.52024e-12,3.84849e-12,1.93929e-11,3.86638e-09,1.42528e-10,1.05564e-07,2.58268e-06,1.55008e-09,file4084.csv,
00:29:25,1765353,4.49822e-10,366.3961,1.86714e-08,1.29107e-07,1.60282e-07,2.21549e-08,1.17669e-10,1.28892e-11,8.53548e-12,3.9842e-09,1.68731e-10,1.03737e-07,2.60082e-06,1.74994e-09,file4084.csv,
