0000000116,scans,0000000216,DataLength
"header",0000000034,"lines"
"Date",5/8/2026,"Time",3:41:12 PM
"ID","HAL RC RGA 201 #16270","Version",4
"Scans",14
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","auxiliary1","none",0.40,0.40,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",14.00,14.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",15.00,15.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",16.00,16.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 7","RGA","Faraday","mass",24.00,24.00,0.01,100.000%,100.000%,0.037000,1.000000,
"Scan 8","RGA","Faraday","mass",26.00,26.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 9","RGA","Faraday","mass",27.00,27.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 10","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 11","RGA","Faraday","mass",30.00,30.00,0.01,100.000%,100.000%,0.681000,1.000000,
"Scan 12","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 13","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 14","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",0,"V"
"resolution",0,"%"
"Data",14
"Time","ms","H2","Temp.","CH4_14","CH4_15","CH4_16","H2O","C2H4_24","C2H4_26","C2H4_27","CO","Ethane","O2","Ar","CO2",
00:00:00,       532, -4.29999e-09,    28.1716,  1.71999e-08,  1.33299e-07,  1.67699e-07,  2.57999e-08,  0.00000e+00,  4.29999e-09, -4.29999e-09,  4.29999e-09,  1.26285e-08,  1.16099e-07,  2.38219e-06,  2.30071e-10,
00:00:19,     19362,  1.34374e-09,    28.1716,  1.74687e-08,  1.31020e-07,  1.66624e-07,  2.35102e-08,  1.08952e-07,  2.68749e-09,  6.05224e-09,  0.00000e+00,  9.78705e-10,  1.13541e-07,  2.40732e-06,  2.43497e-10,
00:00:33,     33126,  3.22499e-10,    28.3685,  1.88124e-08,  1.27064e-07,  1.58992e-07,  2.56924e-08, -2.90538e-09,  0.00000e+00, -1.07499e-10,  3.43999e-09,  1.57855e-10,  1.09972e-07,  2.42747e-06,  2.57827e-10,
00:00:52,     52473,  5.26104e-10,    30.2060,  1.88393e-08,  1.27172e-07,  1.59207e-07,  2.58926e-08,  5.08443e-10,  6.98748e-11,  1.94574e-11,  3.45880e-09,  7.79808e-11,  1.10187e-07,  2.42345e-06,  2.47099e-10,
00:01:17,     77141,  5.26781e-10,    34.6027,  1.87452e-08,  1.26849e-07,  1.58777e-07,  2.57952e-08,  3.86416e-11,  1.79847e-11,  2.74124e-11,  3.41117e-09,  8.02065e-11,  1.09327e-07,  2.43419e-06,  2.66578e-10,
00:01:57,    117259,  4.82749e-10,    43.7244,  1.88097e-08,  1.27494e-07,  1.59314e-07,  2.57160e-08,  4.76484e-11,  1.21689e-11,  1.76622e-11,  3.44880e-09,  5.77752e-11,  1.09542e-07,  2.45099e-06,  2.74565e-10,
00:03:06,    186109,  4.96391e-10,    57.2429,  1.87271e-08,  1.26849e-07,  1.58669e-07,  2.54136e-08,  4.58762e-10,  1.61142e-11,  2.19299e-12,  3.45663e-09,  5.89906e-11,  1.10294e-07,  2.45637e-06,  2.97333e-10,
00:04:14,    254959,  4.76159e-10,    71.3520,  1.87271e-08,  1.27279e-07,  1.58992e-07,  2.52207e-08,  3.54749e-10,  7.17023e-12,  2.01132e-11,  3.51897e-09,  8.18640e-11,  1.10617e-07,  2.46846e-06,  3.06105e-10,
00:05:23,    323809,  4.79857e-10,    85.1986,  1.86989e-08,  1.27279e-07,  1.59099e-07,  2.51200e-08, -3.14362e-10,  4.25699e-12,  1.67484e-11,  3.48950e-09,  6.66783e-11,  1.11369e-07,  2.47720e-06,  3.16726e-10,
00:06:32,    392659,  4.88318e-10,    99.5046,  1.86894e-08,  1.27172e-07,  1.59314e-07,  2.49432e-08,  9.09389e-11,  1.90274e-12, -8.87948e-12,  3.51980e-09,  6.05535e-11,  1.11154e-07,  2.48458e-06,  3.17844e-10,
00:07:41,    461509,  4.89339e-10,   113.4168,  1.86229e-08,  1.27494e-07,  1.58992e-07,  2.48290e-08,  3.03032e-10,  3.39699e-12,  2.08764e-11,  3.52268e-09,  5.95589e-11,  1.11907e-07,  2.49063e-06,  3.61306e-10,
00:08:50,    530359,  4.80997e-10,   127.3290,  1.86707e-08,  1.27924e-07,  1.59637e-07,  2.46497e-08,  4.73289e-10,  6.58973e-12,  2.71974e-11,  3.55573e-09,  7.94488e-11,  1.12337e-07,  2.49601e-06,  4.33396e-10,
00:09:59,    599209,  4.75202e-10,   140.5850,  1.88380e-08,  1.28999e-07,  1.60927e-07,  2.46584e-08,  2.29236e-10, -1.96724e-12,  2.26072e-11,  3.65148e-09,  7.24399e-11,  1.13627e-07,  2.52893e-06,  6.00977e-10,
00:11:08,    668059,  4.86512e-10,   154.1035,  1.89353e-08,  1.29644e-07,  1.61679e-07,  2.46664e-08,  2.37952e-10,  9.10523e-12,  1.15132e-11,  3.65455e-09,  7.67179e-11,  1.12767e-07,  2.51683e-06,  7.98229e-10,
00:12:16,    736909,  4.61851e-10,   167.4251,  1.86995e-08,  1.28677e-07,  1.60282e-07,  2.45462e-08, -7.64119e-11,  7.56798e-12,  1.27172e-11,  3.64469e-09,  7.28504e-11,  1.11262e-07,  2.49870e-06,  9.34592e-10,
00:13:25,    805759,  4.83200e-10,   180.9436,  1.86942e-08,  1.28569e-07,  1.59852e-07,  2.43856e-08,  6.01708e-10,  1.44479e-11,  2.14999e-11,  3.64266e-09,  8.28427e-11,  1.10939e-07,  2.49735e-06,  1.18989e-09,
00:14:34,    874609,  4.75783e-10,   193.9371,  1.86404e-08,  1.28462e-07,  1.59852e-07,  2.43003e-08,  2.96641e-10,  1.08682e-11,  1.83287e-11,  3.69151e-09,  9.57079e-11,  1.10939e-07,  2.50944e-06,  1.45343e-09,
00:15:43,    943439,  4.74418e-10,   207.0618,  1.87580e-08,  1.29107e-07,  1.60712e-07,  2.43292e-08,  4.16051e-10,  6.81548e-12,  3.00354e-11,  3.71000e-09,  8.36636e-11,  1.11262e-07,  2.53900e-06,  1.76094e-09,
