Time,ms,H2,Temp.,CH4_14,CH4_15,CH4_16,H2O,C2H4_24,C2H4_26,C2H4_27,CO,Ethane,O2,Ar,CO2,source_file,temperature_deg
0:00:00,531,0.0,30.7966,3.01e-08,2.19e-07,2.79e-07,8.6e-09,0.0,4.3e-09,8.6e-09,4.3e-09,0.0,9.46e-08,2.73e-06,1.08e-10,1783492490745_file4106_700_deg.csv,700
0:00:19,19340,6.66e-10,30.8622,3.36e-08,2.19e-07,2.73e-07,1.07e-08,-5.46e-08,-3.35e-09,-2.02e-09,4.7e-09,2.95e-09,9.14e-08,2.7e-06,1.05e-10,1783492490745_file4106_700_deg.csv,700
0:00:33,33103,5.37e-10,30.8622,3.14e-08,2.13e-07,2.58e-07,9.14e-09,0.0,1.07e-10,0.0,5.8e-09,1.58e-10,8.98e-08,2.71e-06,9.74e-11,1783492490745_file4106_700_deg.csv,700
0:00:52,52451,6.33e-10,30.9278,3.13e-08,2.13e-07,2.58e-07,9.6e-09,-6.36e-10,6.12e-11,5.98e-11,5.75e-09,1.32e-10,8.96e-08,2.7e-06,1.03e-10,1783492490745_file4106_700_deg.csv,700
0:01:17,77618,6.52e-10,32.634,3.12e-08,2.13e-07,2.58e-07,9.53e-09,3.99e-10,1.92e-11,8.75e-12,5.78e-09,1.65e-11,8.9e-08,2.71e-06,1.17e-10,1783492490745_file4106_700_deg.csv,700
0:01:58,118236,6.13e-10,41.4932,3.1e-08,2.12e-07,2.57e-07,9.39e-09,1.71e-11,2.52e-11,4.77e-11,5.7e-09,6.35e-11,8.82e-08,2.71e-06,1.84e-10,1783492490745_file4106_700_deg.csv,700
0:03:07,187586,5.99e-10,55.2742,3.11e-08,2.12e-07,2.57e-07,9.27e-09,3.06e-10,1.29e-11,5.4e-11,5.66e-09,5.8e-11,8.78e-08,2.73e-06,3.43e-10,1783492490745_file4106_700_deg.csv,700
0:04:16,256936,5.94e-10,69.5145,3.09e-08,2.12e-07,2.57e-07,9.31e-09,-1.73e-10,2.85e-11,4.18e-11,5.64e-09,4.71e-11,8.86e-08,2.75e-06,5.81e-10,1783492490745_file4106_700_deg.csv,700
0:05:26,326286,6.21e-10,84.0174,3.11e-08,2.14e-07,2.6e-07,9.6e-09,2.98e-10,1.48e-11,5.27e-11,5.71e-09,5.55e-11,9.01e-08,2.77e-06,1.01e-09,1783492490745_file4106_700_deg.csv,700
0:06:35,395636,5.95e-10,98.1265,3.12e-08,2.16e-07,2.61e-07,1.02e-08,-2.74e-10,5.19e-12,5.35e-11,5.73e-09,6.98e-11,9.09e-08,2.78e-06,1.04e-09,1783492490745_file4106_700_deg.csv,700
0:07:44,464986,6.22e-10,111.6449,3.13e-08,2.17e-07,2.63e-07,1.1e-08,-1.51e-10,2.57e-11,4.3e-11,5.76e-09,1.02e-10,9.16e-08,2.82e-06,9.84e-10,1783492490745_file4106_700_deg.csv,700
0:08:54,534336,6.05e-10,125.0978,3.14e-08,2.18e-07,2.64e-07,1.18e-08,-1.25e-10,1.36e-11,4.9e-11,5.75e-09,5.41e-11,9.22e-08,2.82e-06,1.07e-09,1783492490745_file4106_700_deg.csv,700
0:10:03,603686,6.1e-10,138.9444,3.15e-08,2.19e-07,2.66e-07,1.29e-08,5.75e-11,2.79e-11,5.21e-11,5.77e-09,7.55e-11,9.33e-08,2.84e-06,1.23e-09,1783492490745_file4106_700_deg.csv,700
0:11:06,666536,6.31e-10,151.4129,3.15e-08,2.2e-07,2.66e-07,1.36e-08,2.07e-10,1.69e-11,6.04e-11,5.68e-09,7.49e-11,9.31e-08,2.83e-06,1.51e-09,1783492490745_file4106_700_deg.csv,700
0:12:15,735886,6.27e-10,164.8658,3.13e-08,2.19e-07,2.65e-07,1.41e-08,-4.25e-10,1.46e-11,5.01e-11,5.72e-09,6.29e-11,9.27e-08,2.83e-06,1.97e-09,1783492490745_file4106_700_deg.csv,700
0:13:25,805236,6.3e-10,178.0561,3.13e-08,2.18e-07,2.64e-07,1.44e-08,2.91e-12,2.42e-11,5.95e-11,5.74e-09,7.34e-11,9.18e-08,2.83e-06,2.66e-09,1783492490745_file4106_700_deg.csv,700
0:14:34,874586,6.31e-10,191.509,3.12e-08,2.17e-07,2.63e-07,1.43e-08,-1.76e-10,7.34e-12,4.73e-11,5.77e-09,7.14e-11,9.09e-08,2.83e-06,3.39e-09,1783492490745_file4106_700_deg.csv,700
0:15:43,943936,6.26e-10,205.0931,3.13e-08,2.17e-07,2.63e-07,1.43e-08,2.4e-10,1.92e-11,5.44e-11,5.78e-09,6.6e-11,8.94e-08,2.82e-06,3.98e-09,1783492490745_file4106_700_deg.csv,700
0:16:53,1013286,6.42e-10,218.4147,3.1e-08,2.16e-07,2.62e-07,1.41e-08,5.92e-10,1.65e-11,5.3e-11,5.75e-09,7.58e-11,8.9e-08,2.82e-06,4.14e-09,1783492490745_file4106_700_deg.csv,700
0:18:02,1082636,6.29e-10,231.6051,3.09e-08,2.15e-07,2.6e-07,1.41e-08,2.88e-11,1.92e-11,4.19e-11,5.73e-09,6.71e-11,8.84e-08,2.8e-06,4.3e-09,1783492490745_file4106_700_deg.csv,700
0:19:08,1148736,6.23e-10,244.2048,3.08e-08,2.14e-07,2.59e-07,1.38e-08,5.01e-10,2.89e-12,4.18e-11,5.71e-09,9.32e-11,8.77e-08,2.8e-06,4.7e-09,1783492490745_file4106_700_deg.csv,700
0:20:18,1218088,6.35e-10,258.117,3.07e-08,2.13e-07,2.58e-07,1.36e-08,-1.32e-10,5.33e-12,6.76e-11,5.75e-09,1.2e-10,8.73e-08,2.78e-06,5.35e-09,1783492490745_file4106_700_deg.csv,700
0:21:30,1290559,6.13e-10,271.9636,3.05e-08,2.12e-07,2.57e-07,1.34e-08,-1.45e-12,1.9e-11,4.05e-11,5.75e-09,7.21e-11,8.6e-08,2.78e-06,6.11e-09,1783492490745_file4106_700_deg.csv,700
0:22:33,1353279,6.18e-10,284.3665,3.04e-08,2.11e-07,2.56e-07,1.3e-08,-2.89e-10,9.84e-12,3.53e-11,5.79e-09,9.55e-11,8.52e-08,2.77e-06,7.24e-09,1783492490745_file4106_700_deg.csv,700
0:23:35,1415999,6.31e-10,296.3756,3.02e-08,2.1e-07,2.55e-07,1.28e-08,2.21e-10,1.79e-11,2e-11,5.93e-09,7.15e-11,8.31e-08,2.78e-06,8.85e-09,1783492490745_file4106_700_deg.csv,700
