Time,ms,H2,Temp.,CH4_14,CH4_15,CH4_16,H2O,C2H4_24,C2H4_26,C2H4_27,CO,Ethane,O2,Ar,CO2,source_file,temperature_deg
00:00:00,532,8.59998e-09,29.3528,3.43999e-08,2.23599e-07,2.70899e-07,8.59998e-09,0.0,4.29999e-09,0.0,0.0,6.31423e-09,1.07499e-07,2.34349e-06,6.73486e-11,1783479509584_file4092_500_deg.csv,500
00:00:19,19340,-2.02099e-09,29.3528,2.82187e-08,2.23728e-07,2.7278e-07,4.69774e-09,-3.63173e-08,3.36474e-09,6.77248e-10,3.35399e-09,-1.97319e-09,1.04812e-07,2.37843e-06,6.04041e-11,1783479509584_file4092_500_deg.csv,500
00:00:33,33104,7.52498e-10,29.5497,3.09599e-08,2.17149e-07,2.63804e-07,6.44999e-09,2.90538e-09,1.07499e-10,1.07499e-10,3.97749e-09,0.0,1.02984e-07,2.39926e-06,7.98938e-11,1783479509584_file4092_500_deg.csv,500
00:00:52,52451,6.34894e-10,31.1247,3.11749e-08,2.18977e-07,2.65632e-07,6.7785e-09,4.70673e-10,2.27899e-11,3.08524e-11,3.98426e-09,8.83993e-12,1.03844e-07,2.4174e-06,7.48413e-11,1783479509584_file4092_500_deg.csv,500
00:01:17,77118,6.60769e-10,36.0465,3.11137e-08,2.19407e-07,2.66169e-07,6.91393e-09,3.67822e-10,2.12957e-11,1.76514e-11,3.99343e-09,6.51313e-11,1.03199e-07,2.42546e-06,8.06356e-11,1783479509584_file4092_500_deg.csv,500
00:01:56,116086,7.01361e-10,44.1838,3.12522e-08,2.20697e-07,2.67889e-07,6.92335e-09,1.90013e-10,7.58948e-12,1.64582e-11,4.00162e-09,4.06952e-11,1.03307e-07,2.45435e-06,2.1043e-10,1783479509584_file4092_500_deg.csv,500
00:03:07,187037,6.73636e-10,58.4241,3.12334e-08,2.21127e-07,2.68212e-07,6.89931e-09,-2.11804e-10,1.62324e-12,1.96724e-11,3.951e-09,4.98508e-11,1.02339e-07,2.46644e-06,3.79323e-10,1783479509584_file4092_500_deg.csv,500
00:04:14,254737,6.58952e-10,72.0739,3.11292e-08,2.21664e-07,2.68857e-07,6.8962e-09,-5.52024e-11,3.25724e-12,2.49614e-11,3.981e-09,6.6694e-11,1.03092e-07,2.49399e-06,5.73877e-10,1783479509584_file4092_500_deg.csv,500
00:05:25,325687,6.66165e-10,86.8392,3.1146e-08,2.22847e-07,2.70039e-07,7.17807e-09,7.96078e-11,2.33274e-12,3.13147e-11,4.00769e-09,4.6962e-11,1.03952e-07,2.48862e-06,7.02328e-10,1783479509584_file4092_500_deg.csv,500
00:06:36,396637,6.69304e-10,100.9483,3.12394e-08,2.23707e-07,2.71329e-07,7.83456e-09,2.52479e-10,-4.09574e-12,1.62539e-11,4.03427e-09,4.83985e-11,1.05134e-07,2.51683e-06,8.31812e-10,1783479509584_file4092_500_deg.csv,500
00:07:47,467587,6.73497e-10,115.5168,3.13758e-08,2.24782e-07,2.72619e-07,8.77027e-09,-3.83511e-10,-1.77374e-12,1.69742e-11,4.04402e-09,4.97561e-11,1.05457e-07,2.52087e-06,9.41999e-10,1783479509584_file4092_500_deg.csv,500
00:08:58,538516,6.75958e-10,129.5602,3.14209e-08,2.25319e-07,2.73157e-07,9.71464e-09,-1.68513e-10,6.69723e-12,1.86404e-11,4.07076e-09,5.65596e-11,1.05779e-07,2.50743e-06,1.18197e-09,1783479509584_file4092_500_deg.csv,500
00:10:06,606216,6.84042e-10,142.9474,3.1316e-08,2.25104e-07,2.72834e-07,1.05163e-08,6.0287e-10,1.74149e-12,1.73934e-11,4.07689e-09,5.74752e-11,1.05672e-07,2.50944e-06,1.61348e-09,1783479509584_file4092_500_deg.csv,500
